IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
167.160.188.156,167.160.188.156,443,37.81,CA,YYZ,62.21,107.83
147.182.156.112,147.182.156.112,443,36.69,CA,YYZ,81.2,88.84
40.233.116.225,40.233.116.225,443,32.12,CA,YYZ,90.38,78.57
72.11.145.117,72.11.145.117,443,30.64,CA,YYZ,60.1,70.02
40.233.87.120,2603:c021:4:9a88::1016,443,29.46,CA,YYZ,70.98,70.25
45.133.16.41,45.133.16.41,443,28.78,CA,YYZ,148.91,127.37
158.69.220.85,158.69.220.85,443,28.21,CA,YYZ,71.39,110.78
158.69.220.85,158.69.220.85,8443,26.76,CA,YYZ,73.38,166.16
150.242.90.62,150.242.90.62,443,25.29,CA,YVR,82.23,395.1
158.69.219.232,158.69.219.232,443,24.59,CA,YYZ,95.48,136.0
158.69.219.232,158.69.219.232,8443,24.03,CA,YYZ,79.45,134.58
138.197.173.118,138.197.173.118,443,23.65,CA,YYZ,76.97,90.11
167.160.190.137,167.160.190.137,443,21.72,CA,YYZ,60.66,113.61
35.182.59.30,35.182.59.30,2087,21.7,CA,YUL,74.11,87.43
68.233.122.42,68.233.122.42,443,20.91,CA,YUL,85.7,79.55
159.203.2.180,159.203.2.180,443,18.26,CA,YYZ,76.97,85.23
40.233.99.248,2603:c021:4:9a88::1020,443,16.91,CA,YYZ,85.24,112.8
15.157.60.182,15.157.60.182,443,16.59,CA,YUL,73.49,78.3
159.203.18.237,159.203.18.237,443,16.21,CA,YYZ,76.71,97.31
158.69.112.254,158.69.112.254,443,16.05,CA,YYZ,71.0,87.82
38.9.96.61,38.9.96.61,443,14.81,CA,YUL,72.91,82.62
35.182.59.30,35.182.59.30,443,14.76,CA,YUL,72.47,83.67
35.182.59.30,35.182.59.30,2053,14.76,CA,YUL,76.49,83.79
40.233.103.212,2603:c021:5:8c88::1008,443,14.51,CA,YYZ,86.19,77.76
140.238.144.211,2603:c021:4:9a88::1022,443,14.3,CA,YYZ,61.65,70.76
40.233.110.251,2603:c021:4:9a88::1018,443,14.28,CA,YYZ,66.1,73.98
103.214.69.7,103.214.69.7,443,13.72,CA,YUL,75.47,389.38
158.51.123.177,158.51.123.177,443,13.55,CA,SEA,75.24,89.26
40.233.77.216,2603:c021:5:8c88::825,443,13.27,CA,YYZ,64.38,74.03
40.233.71.238,2603:c021:5:8c88::1006,443,12.73,CA,YYZ,68.85,74.34
45.133.17.106,45.133.17.106,443,12.63,CA,YYZ,63.22,76.05
172.98.207.58,172.98.207.6,443,12.49,CA,YYZ,67.53,74.91
65.49.232.101,65.49.232.101,443,12.45,CA,YVR,78.34,83.34
158.69.220.24,158.69.220.24,8443,11.67,CA,YYZ,65.6,126.97
158.69.220.24,158.69.220.24,443,10.99,CA,YYZ,67.66,110.32
70.79.240.221,70.79.240.221,443,9.19,CA,YVR,85.22,121.78
24.78.21.213,24.78.21.213,443,2.81,CA,ORD,97.68,175.9
45.133.17.118,45.133.17.118,2083,1.25,CA,YYZ,63.74,83.49
45.133.17.118,45.133.17.118,2087,1.22,CA,YYZ,65.29,89.34
45.133.17.118,45.133.17.118,2053,1.2,CA,YYZ,75.17,79.51
45.133.17.118,45.133.17.118,8443,1.19,CA,YYZ,66.05,83.38
141.255.164.15,141.255.164.15,443,4.45,CH,ZRH,158.06,202.56
179.237.108.163,179.237.108.163,443,3.92,CH,GVA,148.52,169.64
179.237.108.163,179.237.108.163,8443,3.82,CH,GVA,144.15,172.48
83.228.199.3,83.228.199.3,443,3.57,CH,GVA,149.2,151.67
213.176.18.42,213.176.18.42,443,3.51,CH,ZRH,153.52,159.24
45.148.102.235,45.148.102.235,443,3.47,CH,ZRH,160.88,218.49
83.228.198.53,83.228.198.53,443,3.33,CH,GVA,145.6,150.42
140.238.208.210,140.238.208.210,443,3.32,CH,ZRH,149.76,159.96
84.234.16.169,84.234.16.169,443,3.2,CH,GVA,144.56,155.28
83.228.193.177,83.228.193.177,443,3.19,CH,GVA,147.51,153.59
84.234.16.169,84.234.16.169,8443,3.16,CH,GVA,144.84,151.96
199.68.196.67,199.68.196.67,443,3.13,CH,ZRH,152.23,176.26
146.70.71.157,146.70.71.157,443,3.12,CH,FRA,143.38,162.37
45.148.102.244,45.148.102.244,443,3.05,CH,ZRH,156.38,160.98
185.218.204.205,185.218.204.205,443,3.05,CH,ZRH,164.63,174.98
83.228.198.53,83.228.198.53,8443,2.96,CH,GVA,144.97,149.83
167.17.181.45,167.17.181.45,443,2.95,CH,ZRH,168.94,188.46
103.63.30.163,103.63.30.163,443,2.94,CH,ZRH,157.75,161.34
